name,y,n,val
Austin Barnes,18,86,0.206
Chase Utley,22,106,0.208
Chris Taylor,52,210,0.255
Cody Bellinger,48,199,0.265
Corey Seager,27,94,0.287
Enrique Hernandez,26,122,0.257
Joc Pederson,32,129,0.249
Matt Kemp,57,163,0.292
Yasiel Puig,36,137,0.274
Yasmani Grandal,39,155,0.24
